ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Intensity_IntegratedIntensityEdge_CropBlue,Intensity_IntegratedIntensity_CropBlue,Intensity_LowerQuartileIntensity_CropBlue,Intensity_MADIntensity_CropBlue,Intensity_MassDisplacement_CropBlue,Intensity_MaxIntensityEdge_CropBlue,Intensity_MaxIntensity_CropBlue,Intensity_MeanIntensityEdge_CropBlue,Intensity_MeanIntensity_CropBlue,Intensity_MedianIntensity_CropBlue,Intensity_MinIntensityEdge_CropBlue,Intensity_MinIntensity_CropBlue,Intensity_StdIntensityEdge_CropBlue,Intensity_StdIntensity_CropBlue,Intensity_UpperQuartileIntensity_CropBlue,Location_CenterMassIntensity_X_CropBlue,Location_CenterMassIntensity_Y_CropBlue,Location_CenterMassIntensity_Z_CropBlue,Location_Center_X,Location_Center_Y,Location_MaxIntensity_X_CropBlue,Location_MaxIntensity_Y_CropBlue,Location_MaxIntensity_Z_CropBlue,Number_Object_Number,Parent_Cells,Parent_Nuclei,Texture_AngularSecondMoment_CropBlue_3_00,Texture_AngularSecondMoment_CropBlue_3_01,Texture_AngularSecondMoment_CropBlue_3_02,Texture_AngularSecondMoment_CropBlue_3_03,Texture_Contrast_CropBlue_3_00,Texture_Contrast_CropBlue_3_01,Texture_Contrast_CropBlue_3_02,Texture_Contrast_CropBlue_3_03,Texture_Correlation_CropBlue_3_00,Texture_Correlation_CropBlue_3_01,Texture_Correlation_CropBlue_3_02,Texture_Correlation_CropBlue_3_03,Texture_DifferenceEntropy_CropBlue_3_00,Texture_DifferenceEntropy_CropBlue_3_01,Texture_DifferenceEntropy_CropBlue_3_02,Texture_DifferenceEntropy_CropBlue_3_03,Texture_DifferenceVariance_CropBlue_3_00,Texture_DifferenceVariance_CropBlue_3_01,Texture_DifferenceVariance_CropBlue_3_02,Texture_DifferenceVariance_CropBlue_3_03,Texture_Entropy_CropBlue_3_00,Texture_Entropy_CropBlue_3_01,Texture_Entropy_CropBlue_3_02,Texture_Entropy_CropBlue_3_03,Texture_InfoMeas1_CropBlue_3_00,Texture_InfoMeas1_CropBlue_3_01,Texture_InfoMeas1_CropBlue_3_02,Texture_InfoMeas1_CropBlue_3_03,Texture_InfoMeas2_CropBlue_3_00,Texture_InfoMeas2_CropBlue_3_01,Texture_InfoMeas2_CropBlue_3_02,Texture_InfoMeas2_CropBlue_3_03,Texture_InverseDifferenceMoment_CropBlue_3_00,Texture_InverseDifferenceMoment_CropBlue_3_01,Texture_InverseDifferenceMoment_CropBlue_3_02,Texture_InverseDifferenceMoment_CropBlue_3_03,Texture_SumAverage_CropBlue_3_00,Texture_SumAverage_CropBlue_3_01,Texture_SumAverage_CropBlue_3_02,Texture_SumAverage_CropBlue_3_03,Texture_SumEntropy_CropBlue_3_00,Texture_SumEntropy_CropBlue_3_01,Texture_SumEntropy_CropBlue_3_02,Texture_SumEntropy_CropBlue_3_03,Texture_SumVariance_CropBlue_3_00,Texture_SumVariance_CropBlue_3_01,Texture_SumVariance_CropBlue_3_02,Texture_SumVariance_CropBlue_3_03,Texture_Variance_CropBlue_3_00,Texture_Variance_CropBlue_3_01,Texture_Variance_CropBlue_3_02,Texture_Variance_CropBlue_3_03
1,14,201,52.0,109.0,1.0,8.0909088579165367,0.65959379016709863,0.0,0.14855875831485588,0.045211676258887487,51.419796558605526,40.19950248448356,3.0,1.1876309678194013,1.0,30.357865537616441,38.648264048575406,11.712446626274785,236.36199999999971,0.20354430379746838,0.15589866346575459,0.029970684893825712,0.052830696100672564,0.031256087221174629,0.0080664587113933126,0.0104515142359984,0.034335437413257626,0.0097479369180708472,0.01043907240427561,0.016564170180887842,0.0051116478881107355,0.010374880113833123,0.036373110792515123,0.012728028216425255,0.0056077867172679855,0.013942477142021506,0.014084763094073359,0.0063853067880166791,0.0048010280303534382,0.0057402631649249199,0.00065351108144804076,0.0095944067332244583,0.0025042554875615128,0.0015893400704928388,0.0086590436805041998,0.0089944947672329252,0.004491519330459574,0.0060149735415191245,0.0028408617457079061,0.0018827936994235742,9.741176774725318,11.674510154873133,0.035294119268655777,0.0156862773001194,1.7920911313874464,0.13725490868091583,0.13725490868091583,0.062045711940925591,0.058082140073995682,0.050980392843484879,0.019607843831181526,0.019607843831181526,0.03091810079040918,0.028805332836733335,0.07352941483259201,67.363453187292151,107.59791738210731,0.0,65.805970149253724,106.71144278606965,86.0,112.0,0.0,14,14,14,0.020199916701374422,0.016765285996055226,0.017687277051129609,0.017543859649122806,42.285714285714278,72.153846153846146,20.827586206896552,36.05263157894737,0.090055209005521469,0.21219473676654332,0.78630945845380629,0.5218911290569459,3.5507215194260806,3.6308041416063297,3.1012483003833684,3.5007329438684467,0.0019240311392886714,0.0018399810066476734,0.0035222251581744266,0.0019044321329639892,5.8492042317820054,6.0096358726529289,6.1035863830213053,6.2274553649660236,-0.53209297125462762,-0.58677000865893547,-0.52382216975353213,-0.49149320483778763,0.99277360226614753,0.99659263989250324,0.99340579301514531,0.99132046196641044,0.20067749120635894,0.051198552893951324,0.34678181061263275,0.25016559734059451,24.448979591836732,26.717948717948715,29.586206896551726,28.89473684210526,3.9121400080902982,4.355539077670187,4.7714370294611257,4.3807689627056714,50.65556018325708,111.02301117685738,174.1046373365042,114.76084949215169,23.235318617242825,45.794214332675892,48.733055885850206,37.703370267774631
1,15,151,27.0,103.0,1.0,2.6642471808149288,0.80937370397856412,0.0,0.36124401913875598,0.15293609574011569,27.642434447546588,23.259406699226016,2.8284271247461903,1.3902162222536576,1.0,13.435028842544403,16.234235069745068,34.728600716949536,111.38800000000005,0.54512635379061369,0.35537739603513779,0.013953566427238641,0.017805629530447963,0.082775876819608102,0.041586326138135614,0.016067854802670426,0.061231071966196988,0.011752836606140417,0.027738492802113004,0.036670515358659554,0.021279737118559992,0.0063065638743816897,0.023220686613834651,0.028533827326277794,0.007997667152496786,0.015426770120976237,0.0088163023661512255,0.035725465622687975,0.0059631759811064784,0.0039456867962166754,0.0076431399868153987,0.013517311665610246,0.007082171594572465,0.0068169891082153931,0.010423858219164014,0.010454164926265906,0.0029731023900483483,0.0092237304459731728,0.0019565360527914895,0.0051004738932227886,6.0274511650204659,8.7803924325853586,0.027450980618596077,0.023529412224888802,1.793825442936783,0.17254902422428131,0.17254902422428131,0.072619893554463438,0.058148294255532175,0.047058824449777603,0.015686275437474251,0.015686275437474251,0.046029219271710033,0.03902501899967218,0.075490199029445648,35.510942387285588,105.65922287205953,0.0,34.827814569536422,107.31788079470199,37.0,101.0,0.0,15,15,15,0.015266272189349115,0.01125,0.01171875,0.013827160493827161,61.384615384615394,105.43333333333334,92.140625,81.711111111111109,0.22289340740341124,0.4979351797226973,0.12286079835638659,-0.18856153633421788,3.8266872463324368,4.2131754465621576,4.1035272051985192,3.9332094188315057,0.0012997297099861206,0.00082716049382716055,0.00090591242283950628,0.0012949245541838135,6.3413730052362958,6.5902239289418514,6.632659765557392,6.2474086518852303,-0.41757956506700256,-0.51008595911646781,-0.46496510392154822,-0.45029250655591707,0.98224408244579153,0.99449909202412656,0.99096555902971384,0.98666050076834155,0.1730161768954247,0.13280239962057122,0.13035291046001785,0.097285019726618571,23.046153846153846,30.966666666666669,26.015625,23.355555555555554,4.6218206985721864,4.9964040875570079,4.7242384298164914,4.5526383739632221,96.597869822485336,314.56555555555542,117.952880859375,55.784691358024702,39.495621301775117,104.9997222222222,52.52337646484375,34.373950617283981
1,16,384,147.0,110.0,1.0,2.646677676442279,0.48251798760933162,0.0,0.36432637571157495,0.13838075066205935,38.274094651752506,35.468295701936398,3.6055512754639891,1.6433513678193512,1.4142135623730951,26.870057685088806,33.52374599804363,-73.081757022347674,186.73799999999989,0.50393700787401563,0.38865181651693359,0.061711613133465619,0.030727076246221563,0.026882542402503255,0.0338305154449993,0.016605962065909519,0.099300084299188282,0.018849924781488205,0.018661112781785696,0.041088187570284047,0.028736144276114255,0.0073874134953846489,0.0044665044311565563,0.028223323545684305,0.0065780887656615361,0.012444422704868452,0.012040802612599922,0.013190273942633515,0.0083672213249782728,0.006836020529018179,0.019969690409147769,0.016000018007270512,0.0057863262275250123,0.0056217282293812834,0.014632878581591176,0.020667756874318433,0.015802686038531966,0.0078420148758342502,0.0051125952469453367,0.0025887374709779982,6.6509806178510189,15.113725991919637,0.019607843831181526,0.015686273574829102,0.52315743527199399,0.098039217293262482,0.098039217293262482,0.044046229257291514,0.039358661437290721,0.031372550874948502,0.0078431377187371254,0.0078431377187371254,0.028900262331557954,0.022452452350936725,0.058823529630899429,136.52179554678963,106.65905552496696,0.0,136.9921875,106.88802083333333,130.0,101.0,0.0,16,16,16,0.0085198045267489697,0.0078902309223008935,0.0064744801512287339,0.0095351355943001544,56.870370370370367,93.612244897959187,54.70000000000001,33.078341013824883,0.084507654566345958,-0.25790916527606633,0.070238875378566393,0.5062303459119506,3.9493557033721247,4.1482983436800804,3.8775326883672374,3.5317619487846255,0.0012526531846332413,0.00090041652051071203,0.0015132940347423415,0.0028161767450054593,7.2423082363838356,7.2659418620732259,7.5512224032541866,7.2944759449124099,-0.25620493441963949,-0.29926735303544816,-0.19387203362737435,-0.2514295829810731,0.9385844622627445,0.96045281371080582,0.89572422938194851,0.93662686016626384,0.17584709970443679,0.1458749081441913,0.18480608470125959,0.28845659274095864,19.361111111111111,21.367346938775512,19.656521739130437,19.714285714285715,4.8148464512803084,4.7284049092914948,4.834339921052047,4.9913232367015539,67.369598765432102,55.225600444259214,62.964631379962157,100.9045424621462,31.059992283950649,37.209461335554622,29.416157844990536,33.495720868992734
1,17,482,3.0,125.0,1.0,2.0660284167855565,0.69676140565200517,0.0,0.44301470588235292,0.18436636923847599,40.924295585469309,37.20215047547655,8.5440037453175304,2.764507010177458,2.2360679774997898,28.503681689356483,29.355118563880886,-47.271457845994199,181.25399999999988,0.59950248756218905,0.41696001419794027,0.084757090163137344,0.023311484446080211,0.040504439769031508,0.073437583906368217,0.040010503485016218,0.062260993365125819,0.0031406995791412396,0.025036735960079722,0.041896530169149099,0.02459776121392232,0.011247564915025586,0.0071901677252810764,0.020244871598972137,0.0036374809016560803,0.014488744104648973,0.016772681975418719,0.0075722305958595363,0.0043213041191782079,0.021614311547255221,0.009933268623251253,0.0082352460930207629,0.0099884215523478731,0.0056123109265873898,0.0021116223870709522,0.0013841824419188378,0.0079687901937905616,0.0033864687131954637,0.0032081865535508636,0.0029469751917886458,6.164706080686301,18.600000590551645,0.019607843831181526,0.015686273574829102,1.720381874910363,0.11764705926179886,0.11764705926179886,0.046005269258852989,0.03858921284346814,0.031372550874948502,0.0039215688593685627,0.0039215688593685627,0.031296235736873547,0.023883846419878077,0.054901961237192154,12.164242034410183,118.06852202788647,0.0,11.466804979253112,116.49585062240664,25.0,109.0,0.0,17,17,17,0.009448940339671941,0.0059279778393351804,0.0068977105650073513,0.007664464234415397,37.792168674698793,54.05263157894737,39.498550724637688,52.905084745762714,0.41899556038888564,0.18598007735407349,0.38868241019314481,0.25870380780798879,3.6570970283089448,3.8306591472221707,3.6567753592720531,3.8904470059140719,0.0022635393195715812,0.0017024945480703423,0.0023018975062077634,0.0017672867216442702,7.4710537685200311,7.7125613444783809,7.6700355565573037,7.5755388268595016,-0.21530565469701071,-0.20035712070955206,-0.19009994476080444,-0.21506929704336786,0.91385618248158029,0.90578715155070277,0.8946262043061054,0.91590154432848103,0.25025701262338701,0.14269744906009904,0.25201721426771762,0.2113315505325922,18.599397590361448,19.729824561403507,18.913043478260867,19.569491525423729,5.014957043647656,4.9572263173014388,5.0707198220137455,4.9579940763574317,92.300361082885672,78.751566635887968,89.725771896660433,89.83161160586036,32.523132439396164,33.201049553708856,32.306080655324493,35.684174087905745
1,18,335,157.0,117.0,1.0,2.0112466913649185,0.60387272356309118,0.0,0.38505747126436779,0.121036296962641,32.4141966310575,34.409301068170507,5.8309518948453007,2.1181506031588486,2.0,26.805138759527541,25.836732399551643,55.407665007444436,186.49599999999978,0.49519586104951957,0.34261688337717394,0.071548407609482112,0.078436569854732824,0.011134275614367745,0.072676331563464147,0.025455988511835833,0.036913233018095223,0.018693302128729189,0.019676625379104105,0.023114720102067551,0.023593199317815287,0.00557891715374257,0.023057728028485328,0.019105947954195193,0.0041698946002954552,0.011164634845842621,0.0032791105337375312,0.019337493684074926,0.011942952750524444,0.0092506937548090407,0.0020824695338559074,0.0088639976451074503,0.0088822330990512375,0.015443050257260152,0.00022088108807583788,0.0090609541369074363,0.0058918586455149521,0.010719710129548468,0.006757901394434291,0.0064546675745796398,7.5254904320463538,12.27451020013541,0.011764706112444401,0.015686274506151676,4.3738611157283449,0.12156862765550613,0.12156862765550613,0.056160376358554878,0.03664032895562809,0.023529412224888802,0.0039215688593685627,0.0039215688593685627,0.033841945781682661,0.029925297996063627,0.062745101749897003,163.31884984620208,113.13642176467869,0.0,159.80895522388059,115.74626865671642,162.0,103.0,0.0,18,18,18,0.026051335362986063,0.02911692684419958,0.032241735537190078,0.022191569637713494,39.378109452736318,17.606060606060609,21.345454545454547,67.929936305732483,0.55044071738348777,0.76071669756677229,0.62972493873071678,0.10662688898842503,3.6734069914444039,3.0293063975985821,3.075804997375279,4.0096295942338163,0.0020980829295685743,0.0043848164409243957,0.004153861053719005,0.0013675995349709926,6.3632864273459226,6.3570750643519647,6.2779692078792504,6.2454819076754839,-0.37403802118642449,-0.39449216819824884,-0.3241140243969573,-0.29988799870911931,0.97287023449309895,0.97776266279387758,0.95488924648239326,0.9431670355494437,0.26850377242353268,0.42876900200831936,0.38760567272912472,0.18392305156612104,14.711442786069652,14.707070707070708,12.881818181818183,13.242038216560511,4.7421779650576408,4.847518303973537,4.5286055453402092,4.4983408762304924,135.80728199797034,129.55055606570758,93.949669421487556,84.145239157775137,43.796347862676669,36.789154167942037,28.823780991735532,38.018793865876937
