ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Children_Cytoplasm_Count,Intensity_IntegratedIntensityEdge_CropBlue,Intensity_IntegratedIntensity_CropBlue,Intensity_LowerQuartileIntensity_CropBlue,Intensity_MADIntensity_CropBlue,Intensity_MassDisplacement_CropBlue,Intensity_MaxIntensityEdge_CropBlue,Intensity_MaxIntensity_CropBlue,Intensity_MeanIntensityEdge_CropBlue,Intensity_MeanIntensity_CropBlue,Intensity_MedianIntensity_CropBlue,Intensity_MinIntensityEdge_CropBlue,Intensity_MinIntensity_CropBlue,Intensity_StdIntensityEdge_CropBlue,Intensity_StdIntensity_CropBlue,Intensity_UpperQuartileIntensity_CropBlue,Location_CenterMassIntensity_X_CropBlue,Location_CenterMassIntensity_Y_CropBlue,Location_CenterMassIntensity_Z_CropBlue,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_CropBlue,Location_MaxIntensity_Y_CropBlue,Location_MaxIntensity_Z_CropBlue,Number_Object_Number,Parent_Nuclei,Texture_AngularSecondMoment_CropBlue_3_00,Texture_AngularSecondMoment_CropBlue_3_01,Texture_AngularSecondMoment_CropBlue_3_02,Texture_AngularSecondMoment_CropBlue_3_03,Texture_Contrast_CropBlue_3_00,Texture_Contrast_CropBlue_3_01,Texture_Contrast_CropBlue_3_02,Texture_Contrast_CropBlue_3_03,Texture_Correlation_CropBlue_3_00,Texture_Correlation_CropBlue_3_01,Texture_Correlation_CropBlue_3_02,Texture_Correlation_CropBlue_3_03,Texture_DifferenceEntropy_CropBlue_3_00,Texture_DifferenceEntropy_CropBlue_3_01,Texture_DifferenceEntropy_CropBlue_3_02,Texture_DifferenceEntropy_CropBlue_3_03,Texture_DifferenceVariance_CropBlue_3_00,Texture_DifferenceVariance_CropBlue_3_01,Texture_DifferenceVariance_CropBlue_3_02,Texture_DifferenceVariance_CropBlue_3_03,Texture_Entropy_CropBlue_3_00,Texture_Entropy_CropBlue_3_01,Texture_Entropy_CropBlue_3_02,Texture_Entropy_CropBlue_3_03,Texture_InfoMeas1_CropBlue_3_00,Texture_InfoMeas1_CropBlue_3_01,Texture_InfoMeas1_CropBlue_3_02,Texture_InfoMeas1_CropBlue_3_03,Texture_InfoMeas2_CropBlue_3_00,Texture_InfoMeas2_CropBlue_3_01,Texture_InfoMeas2_CropBlue_3_02,Texture_InfoMeas2_CropBlue_3_03,Texture_InverseDifferenceMoment_CropBlue_3_00,Texture_InverseDifferenceMoment_CropBlue_3_01,Texture_InverseDifferenceMoment_CropBlue_3_02,Texture_InverseDifferenceMoment_CropBlue_3_03,Texture_SumAverage_CropBlue_3_00,Texture_SumAverage_CropBlue_3_01,Texture_SumAverage_CropBlue_3_02,Texture_SumAverage_CropBlue_3_03,Texture_SumEntropy_CropBlue_3_00,Texture_SumEntropy_CropBlue_3_01,Texture_SumEntropy_CropBlue_3_02,Texture_SumEntropy_CropBlue_3_03,Texture_SumVariance_CropBlue_3_00,Texture_SumVariance_CropBlue_3_01,Texture_SumVariance_CropBlue_3_02,Texture_SumVariance_CropBlue_3_03,Texture_Variance_CropBlue_3_00,Texture_Variance_CropBlue_3_01,Texture_Variance_CropBlue_3_02,Texture_Variance_CropBlue_3_03
2,20,350,121.0,110.0,1.0,1.0488669611703429,0.46367670711823111,1.0,0.69169960474308301,0.79048458388150833,22.927835085787887,23.086792761230392,9.0,3.5497983366004666,3.0,20.506096654409877,20.314164249424717,-32.691155252117085,74.592000000000027,0.94086021505376349,0.75565819878457885,0.039919610501653248,0.15508308471200974,0.038106028060491397,0.013927351520581149,0.058415482961560676,0.049226413002898102,0.0035552298890469758,0.011676830699383795,0.0088085677693508554,0.014356376500966807,0.016691061379771582,0.0060423217303366495,0.011316658971382282,0.0078301562196710032,0.011867876705843756,0.0065775492498287578,0.019520580269561865,0.0097924345654262467,0.0066436386467081795,0.00804858041713233,0.0021972897107014628,0.0056518146049600445,0.0058354369249860221,0.010176994428506678,0.0020277047955595232,0.009161402727844041,0.0022592093187839626,0.0047132521210913872,0.0031648052810362539,1,6.2666668295860291,51.917648442089558,0.11764705926179886,0.027450986206531525,0.5539600494583482,0.18431372940540314,0.26274511218070984,0.10273224310796769,0.14833613840597015,0.14509804546833038,0.070588238537311554,0.070588238537311554,0.027927351928781052,0.041670173147252687,0.17647059261798859,120.39957702036511,108.99244656536906,0.0,120.56857142857143,109.52,0,116.0,106.0,0.0,20,20,0.0028424372829967239,0.0031697563395126785,0.0029425079221367138,0.0027504062253097005,130.22727272727278,172.08661417322836,102.18794326241135,179.12741312741315,0.37255792440085261,0.14565221707310591,0.5146449212332147,0.15573983002724337,4.4886239290597656,4.6550160190412662,4.2596150866506726,4.6335580431259134,0.00053920327742526346,0.00046209132210651933,0.00067617940935417009,0.00043461826788034871,8.6575346567070657,8.4915027477361651,8.6035282478027941,8.624878654465217,-0.34971010633533384,-0.37240150141994943,-0.35768330146209792,-0.36321854416545302,0.98716934286353719,0.98968089869752618,0.98814206935617033,0.98906253247047893,0.096062896227098418,0.11923307732465868,0.086900131224738164,0.074385276352106344,78.220279720279734,77.81889763779526,78.734042553191486,80.30115830115831,5.8666536573728401,5.7693924539566517,5.8715250498185991,5.667965367893169,284.87805027140439,230.76247752495783,318.89735174286943,245.21432298266154,103.77633074966957,100.71227292454614,105.27132375132055,106.08543402751866
2,21,472,48.0,122.0,1.0,2.2782151853042634,0.9242007626730111,1.0,0.3357041251778094,0.34539622013080684,48.877147624762387,43.829214001622255,7.2111025509279782,2.7574757491366122,2.2360679774997898,21.370574626200732,18.666524410028078,44.803076972678596,131.04400000000004,0.68854850474106499,0.31284178298542253,0.082095714375417989,0.046785909718657454,0.081795818713650742,0.048788216476540122,0.039253740523333157,0.015255238798769423,0.035888428620489951,0.01685512817659757,0.02485651942207041,0.026644676243271322,0.01224763542155803,0.0057654952957698026,0.0077983595308051823,0.01381100543014778,0.024073949641577063,0.015051188418384546,0.0081433418781697766,0.0088065159939219248,0.0051569954873717542,0.011976189507249978,0.0078647660826104485,0.0085280119889227807,0.012599833181683815,0.016994226143646991,0.0064593615392049336,0.0026574993332357903,0.0023513480236640764,0.0045952654958771478,0.007315191038094809,1,12.27058863453567,65.517649042420089,0.027450980618596077,0.086274510249495506,2.9944358749746955,0.29803922772407532,0.42352941632270813,0.11467839845360439,0.13880857847970357,0.10588235408067703,0.0078431377187371254,0.0078431377187371254,0.10672244113245333,0.1167026091695457,0.24313725531101227,41.769737225056751,113.89190158347,0.0,44.451271186440678,115.22457627118644,0,42.0,114.0,0.0,21,21,0.0036217018053276099,0.0022077742875463678,0.0031345871682006135,0.0041247111504890983,250.72471910112361,547.80626780626801,259.0700280112045,255.91349480968856,0.85877345151477702,0.69589170548946522,0.85506805751961734,0.84060833077932995,4.8340906786114992,5.4027596819715651,4.9483613698428943,4.8232627308622522,0.00035784018006872702,0.00016209176756877837,0.00029209331649666909,0.00037992447909084682,8.7250802022663461,9.0139784938138625,8.7876042068914373,8.4680816306846403,-0.55349043980392898,-0.54112640388295352,-0.55330426536557809,-0.56942447664184259,0.99937009257185538,0.99937626037492089,0.99939765036811623,0.99940924006030574,0.14803511897891797,0.043494655199322024,0.1333115587713701,0.13767323235104939,71.988764044943821,81.390313390313395,75.680672268907557,65.062283737024231,6.6462373796344032,7.0543403191428835,6.8062536142245387,6.4229458177987979,3299.9493119555609,3054.8989375086248,3315.9876656544975,2955.2141138156858,887.66850776417141,900.67630132872273,893.76442341642519,802.7819021563439
2,22,394,31.0,118.0,1.0,1.3957031999260421,0.83683335602813436,1.0,0.49249999999999999,0.31771689717012819,32.855030618024216,35.805027579936315,7.2111025509279782,2.7325602758449343,2.2360679774997898,21.149302438391988,17.986739524061669,65.887058189593077,124.83400000000003,0.77559055118110243,0.38146315096890115,0.056631229717513623,0.16251855461418382,0.04593247909199346,0.051052034105377904,0.0088337091947032747,0.020829567400014175,0.039957451779874198,0.021808188395569566,0.014904815855015463,0.0088421235535210193,0.0020225752762059071,0.0010945518029949258,0.01155662439871734,0.025264640023598527,0.012377629809470757,0.0087720253450346286,0.00766600470432787,0.0084729091419018243,0.0011964608466017023,0.010078296626013008,0.0069038767316937028,0.011700991437413674,0.011300647603250599,0.0045904430853180899,0.0075778039131515519,0.011049757806160387,0.0051499356830669758,0.0022546503681487866,0.0042009442225825512,1,7.631372801028192,55.694119412451982,0.035294119268655777,0.098039222881197929,3.0038836777929085,0.29411765933036804,0.34117648005485535,0.078673946402352493,0.14135563302652787,0.12549020349979401,0.011764706112444401,0.011764706112444401,0.086862060520003906,0.10485424390161212,0.24313725531101227,32.356639908763945,117.39691591761594,0.0,31.931472081218274,120.37055837563452,0,34.0,113.0,0.0,22,22,0.0041567766086843556,0.0024066115702479343,0.0022801059421589994,0.0024354445896033932,278.90721649484544,469.17454545454547,226.53594771241831,507.99196787148594,0.80396134484265369,0.63860175044161338,0.83170912562850063,0.63298832195686039,4.8628317922494588,5.2400175367137614,4.8364001211525469,5.349033000909035,0.00041958482544261137,0.00021722389181066861,0.00037208330729616247,0.00019839181146238504,8.4899878401554254,8.8177977174871991,8.9396138853151079,8.7521509782441314,-0.58105583774896852,-0.55021391813637788,-0.52780055437573914,-0.55275046282351692,0.9995221371356563,0.9993799993940099,0.99917707532970967,0.99937532712098276,0.16188861221469986,0.080720508305166749,0.094096853046420861,0.046259028325101106,78.536082474226788,87.370909090909095,81.405228758169926,80.819277108433738,6.6006758446700422,6.6873431416011826,6.8800167757377029,6.757602950326719,2566.523612144405,2127.2660628099165,2465.6593190653175,2260.2685440557379,711.3577071598113,649.11015206611614,673.04881669443398,692.06512798180597
2,23,358,88.0,138.0,1.0,1.0361565236442831,0.5909947228650968,1.0,0.77489177489177485,0.85536868296665369,23.965583447961013,24.207436873820409,9.0,3.6854914117278135,3.1622776601683795,19.230184606498192,19.332447157503029,-34.96668296081932,72.522000000000034,0.94210526315789478,0.77784941470168645,0.047738740552521544,0.14506349505590771,0.066779742214524984,0.018182369746445819,0.019667423852603325,0.052758051213174714,0.016252015586616812,0.026445010115799385,0.015285429334625953,0.019326443913711622,0.0071205230587686012,0.0011781359782975394,0.0069725129552480249,0.014339402181821156,0.0064162727483014449,0.0025829205895969249,0.01459507563630992,0.0030047394702480291,0.0099148222668881576,0.014708146825535645,0.002968195772218238,0.0020955580641827949,0.0088966715369000939,0.0032014689182298267,0.007474543111715623,0.0013692264310108443,0.010071083734295438,0.0036276124641198178,0.0041500184090037303,1,5.8392158001661301,59.039217360317707,0.11764705926179886,0.0313725546002388,0.62781167382868441,0.12156862765550613,0.40784314274787903,0.094180900002679521,0.16491401497295449,0.14509804546833038,0.062745101749897003,0.062745101749897003,0.012843089374164065,0.072231692110969956,0.18431372940540314,89.221056116291223,139.01461308268017,0.0,88.642458100558656,138.77094972067039,0,91.0,140.0,0.0,23,23,0.0024762999138178681,0.0024067666282199152,0.0023413202250463024,0.0023420160400865996,257.30508474576271,566.70588235294122,389.11945392491469,502.40221402214019,0.64646232322968156,0.250261207826946,0.45251391630602006,0.3284356493155412,4.7976213306141142,5.3042551558760929,5.0557610244802831,5.2776897627339237,0.00036904452482898757,0.000222290223278854,0.00027816176422616626,0.00018849752470715466,8.8069975425029519,8.781550838794189,8.8777797111426349,8.8265598808133134,-0.45450238554735295,-0.4615629537148086,-0.43704103042797965,-0.45595528071992497,0.99718188961739573,0.99742305804509723,0.99650450620860154,0.99727349962231526,0.12658550834515198,0.039259730953427635,0.064534259019180848,0.063650917201204277,89.122033898305077,91.576470588235296,90.156996587030719,91.546125461254604,6.3832598305855353,6.2485682081733609,6.3293266494873457,6.2604041445271958,1198.2969721344452,945.03630911187793,1032.3576046313883,993.81244808758129,363.90051422005149,377.93554786620598,355.36926463907616,374.05366552742998
2,24,467,59.0,143.0,1.0,1.1482340922785148,0.59447548609023992,1.0,0.50871459694989107,0.3722409351188376,28.829262350475691,33.734255586865999,8.9442719099991592,3.3236129326016308,2.8284271247461903,22.76947536722319,23.182005783309798,53.232316893642775,125.56000000000006,0.75996745321399517,0.52026044666243476,0.044974083283858789,0.20352067203697119,0.031719256331190007,0.024642469222074831,0.018061228512771831,0.00015910655470431222,0.029928471175316905,0.0045733121720806218,0.015699694593105679,0.023016818011540565,0.0075001908469436232,0.014399573333286262,0.0072580482210190473,0.0096176855105002245,0.01279672756798373,0.013221347699911679,0.0079123054578814547,0.0099243145578879737,0.0084664525166744282,0.00094607861985174691,0.013422849011935774,0.010642867961520123,0.011266731536524629,0.0063884593865458283,0.0070680174595260199,0.0091545059585849634,0.0044606350420915274,0.014249568100900967,0.0049207016631340507,1,5.1490197367966175,62.2000015322119,0.035294119268655777,0.078431371599435806,2.8015587133945044,0.11372549086809158,0.50196081399917603,0.050980393433629874,0.13319058143942591,0.11372549086809158,0.011764706112444401,0.011764706112444401,0.034475725400789838,0.10508743460543667,0.19607843458652496,58.555702659067251,143.06103020207198,0.0,55.907922912205571,142.1456102783726,0,61.0,145.0,0.0,24,24,0.0020515086478979923,0.0019896193771626299,0.002337784895192885,0.0024213637715645451,415.67696629213481,676.12941176470599,376.02139037433153,746.51524390243912,0.72060009120644364,0.56100363465717129,0.75684100413477395,0.53301437136044461,5.2518681898711339,5.5782892517027598,5.1125377479453888,5.626812474024665,0.000187018218889055,0.00013276709107804577,0.00023573980156957523,0.00013099664858063457,9.1246274802369314,9.1229671773575411,9.0356708889962505,9.0037146569779587,-0.53386731180175584,-0.53091897154155465,-0.53623953229213273,-0.54546364585916784,0.99934963585041769,0.99931548478911425,0.99933327793390658,0.99941610891982657,0.096895796649961952,0.075207332238046348,0.12189520821743262,0.072235952840933759,79.957865168539314,80.305882352941182,76.272727272727266,80.929878048780495,6.9433106633988118,6.8550144027801494,6.8626887368192717,6.8883593615902594,2559.8212583638442,2404.2123183391004,2716.7812348079733,2450.6505707168326,743.87455616399416,770.08543252595132,773.20065629557666,799.2914536548185
2,25,817,35.0,145.0,1.0,1.3013141794433389,0.85833273415319578,1.0,0.64028213166144199,0.44654131873077174,46.292063749922427,45.880278987817846,11.045361017187261,4.1593750975690869,3.6055512754639891,22.94006485044159,23.752156007453628,67.77413332535491,151.62999999999997,0.87849462365591391,0.4929644793155144,0.076488492408283024,0.15391456897252589,0.083823109220378084,0.044495081172139607,0.036380690229941053,0.026380495882700992,0.021053830172640519,0.021706269251688632,0.011373042174766593,0.01941214985481577,0.014222867690816232,0.003007572434445376,0.0056066039164617476,0.0099802278644117639,0.0094279797166702071,0.013797419113270419,0.019088962701662181,0.0037808085132602959,0.0025354720887301114,0.010165259853957977,0.0087253321820714904,0.0090440774258489388,0.011059253604968388,0.0068914678863596767,0.01088775267770449,0.011489993531707265,0.013896490696456742,0.0040233749777559679,0.0021619645944831322,1,2.6313726417720318,71.815688458271325,0.019607843831181526,0.011764707043766975,0.37557960550425223,0.12549020349979401,0.38431373238563538,0.020557598763843998,0.087901699459328422,0.027450980618596077,0.0078431377187371254,0.0078431377187371254,0.012388935242104267,0.10719855053781169,0.13333334028720856,37.209687107811838,152.21514771981631,0.0,37.506731946144434,151.98531211750307,0,39.0,155.0,0.0,25,25,0.0093061313066893428,0.0055195266272189351,0.0096401180406514332,0.0094210211367601118,389.47470238095241,445.98769230769233,252.50983146067415,767.81050955414014,0.76545560612005836,0.73269994108185821,0.8429721891175983,0.55419856419949576,4.844618962485173,4.9761941124837099,4.4430966121075892,5.3134957082411534,0.00056601090658179361,0.00048949430954093015,0.00074754443690777054,0.00041876643100246738,8.3480418733255934,8.7514158161590583,8.2376846645401365,8.5426917025282734,-0.45330681558764047,-0.40250620765647238,-0.45171861873273755,-0.43561878588163988,0.99624466323667704,0.99390402347859186,0.99590449977760542,0.99569768745431864,0.24836748616456097,0.19850421894130646,0.27149870810887727,0.22481412199534428,52.21577380952381,53.526153846153846,49.818820224719097,54.820063694267517,6.3674896556794529,6.4562425022120609,6.2614111479790964,6.5739188882484356,2931.6424297583612,2890.993931360947,2963.6062188328492,2676.8195337539041,830.27928303482872,834.2454059171597,804.02901257338078,861.15751082701127
2,26,664,167.0,169.0,1.0,1.0876815784829295,0.62280767304708851,1.0,0.61882572227399812,0.45965970092152592,33.796540662726883,39.0,12.041594578792296,4.3871735464660864,4.0,27.303953602966388,26.441567675254539,13.793623449378243,134.73200000000003,0.81522406384284851,0.55416474596625764,0.079048494312536605,0.19898266886461297,0.045682687859853119,0.028304275400152703,0.0028144158635401567,0.0087872540096340622,0.018838968702699493,0.007136283859545527,0.024441150570157607,0.010284147952531398,0.0078089464515884929,0.015818396615254499,0.022275885694905576,0.015899179665476781,0.008910428527503669,0.014687715228628204,0.012549989768031733,0.010604627356633688,0.0065752663010013972,0.0029442205063622078,0.0010134724084911581,0.0053312967103787169,0.00265080666717108,0.0056203931934702394,0.0047515713473424244,0.0071088167345123229,0.0033330007018297189,0.0084328228384954792,0.0020958609265689888,1,3.137254985049367,70.321570508182049,0.015686275437474251,0.035294118337333202,3.520173886596369,0.12549020349979401,0.55294120311737061,0.029596745141975161,0.10590597968099706,0.043137256056070328,0.0078431377187371254,0.0078431377187371254,0.035179376178597746,0.1154166885789234,0.18039216101169586,169.18480927444179,164.95633503542817,0.0,168.37048192771084,168.38102409638554,0,171.0,161.0,0.0,26,26,0.0056327960144339426,0.0038548752834467121,0.0068719364047493698,0.0045032502849336022,409.05830388692573,862.78666666666663,439.29113924050637,496.06743737957612,0.77580520808202003,0.53236412774556408,0.76063099805495549,0.72615321844624448,5.0313676370743963,5.5286251484957631,4.9821151852271708,5.1710277790820935,0.00028972987250156743,0.00019070560182017678,0.00030801273622364057,0.00023195458122292058,8.8082285867383447,9.0361097942424458,8.6440659606396935,8.8659256051080462,-0.48382435357612019,-0.46375873697638209,-0.50811687793817462,-0.47666147337380194,0.99818886272611262,0.9978616016652192,0.9986129507245658,0.99805125864727939,0.17595209235685844,0.14883172218638346,0.1832282268468737,0.14010847570430018,60.386925795053003,62.729523809523812,60.206148282097644,60.961464354527934,6.6174848120060332,6.775788096101131,6.6426367159746675,6.6464164228635312,3240.0746700545637,2827.2068426303867,3231.1184432112864,3126.8886884144335,912.28324348537251,922.49837732426295,917.60239561294804,905.73903144850226
2,27,824,63.0,187.0,1.0,1.0929269524236256,0.60299892532423716,1.0,0.67320261437908502,0.4311410652139947,37.446438124244118,40.224370722237531,12.041594578792296,4.7779835686291392,4.2426406871192848,31.1499798318284,29.872596383289917,39.236174661274312,154.97399999999999,0.86600105097214919,0.64833627842740049,0.061911255422264222,0.17711131807492167,0.045574188336562592,0.020860271480371367,0.026080845332089975,0.044230053286514463,0.011933321792530789,0.0074548722146325604,0.01343190026623968,0.018941666523493234,0.012000081288275748,0.0072707264292623999,0.0078922058290604395,0.0082039479709401803,0.017399242170504557,0.0031170243584675047,0.013241081173923929,0.0071153884875634829,0.0011552676006860191,0.018857472492197189,0.0074319612717586069,0.011240806352434933,0.0093186028243860373,0.013924970555479367,0.0035531764713371966,0.0029959763326555026,0.0055857599780355415,0.0075474181862610294,0.0045470747901787522,1,2.5568628180772066,74.301962747238576,0.019607843831181526,0.031372549943625927,3.1452804073047402,0.11372549086809158,0.3333333432674408,0.023457457046579876,0.090172284887425458,0.043137256056070328,0.0078431377187371254,0.0078431377187371254,0.02193418127505414,0.085993149784816383,0.16470588743686676,63.532327013404156,185.59761440202575,0.0,61.882281553398059,182.91990291262135,0,66.0,192.0,0.0,27,27,0.0072314049586776862,0.0047441913053309966,0.0060026190261163702,0.0048223448169437896,189.80539772727269,359.28571428571428,181.78223495702002,290.64596273291926,0.81010818187089284,0.64609115089257418,0.81964391463677533,0.71916548786137457,4.6072875191527878,5.0230186969742938,4.587003980223062,4.8997191212144902,0.00060218749755563592,0.00042556598272765184,0.00060083797592886204,0.0004562019047390925,8.8224838628821391,9.1035595748108999,8.8412812731145287,9.029577892815567,-0.4242833757216421,-0.38549709461349846,-0.41578291946391699,-0.39610475327635564,0.99566974991483126,0.993508327772884,0.99516353891907616,0.99420180932546443,0.22998813245303415,0.17390279961382063,0.20265276727203796,0.19102251341909326,51.836647727272734,53.535338345864659,51.550143266475644,54.198757763975145,6.5377042070686731,6.6124841382812374,6.5391704089297225,6.5590928262745951,1809.2843955804487,1671.0998790208605,1834.0325859393606,1779.2275760966018,499.77244832693054,507.59639832664357,503.95370522409496,517.46838470738032
